env,device,metric,cheap,heavy,ratio,save_f0.3,save_f0.4,save_f0.43,save_f0.6
colab,Intel(R) Xeon(R) CPU @ 2.20GHz (2c/1t),GMACs,0.398176544,4.469731584,0.08908287589915377,61.09171241008462,51.091712410084625,48.09171241008462,31.091712410084625
colab,Intel(R) Xeon(R) CPU @ 2.20GHz (2c/1t),cpu_latency_ms,346.23738924662274,579.0825366973877,0.5979068048248823,10.209319517511762,0.20931951751176348,-2.790680482488228,-19.79068048248824
